
PlaceName,latitude,Longitude,Rating

Big Chef Tom’s Belly Burgers,37.7724609,-122.4165268,4.0

Sea Lion Center,37.8108359747,-122.411076227,3.5

Socola Chocolatier + Barista,37.7865549,-122.395089,4.5

Russian Hill Park,37.8043546701,-122.421426773,5.0

Chenery House,37.7411842346,-122.425041199,4.0

San Francisco Botanical Garden,37.7669237221,-122.466648817,4.5

Marina Green Park,37.806652,-122.439116,4.5

Shakespeare Garden,37.768204378,-122.466959953,4.5

West Bluff Picnic Area & Beach,37.80836836,-122.471343688,4.5

Parkside Square,37.739,-122.48294,4.5

Basa Seafood Express,37.75276,-122.41338,4.5

San Francisco Railway Museum and Gift Shop,37.7936084569,-122.393543869,4.0

Yerba Buena Center For the Arts,37.78574,-122.40255,4.0

Saint Mary’s Square,37.7920450263,-122.405247136,3.5

Vallejo Street Steps,37.7980517935,-122.41288662,4.5

California Academy of Sciences,37.769816,-122.466041,4.0

Fine Arts Museums Of San Francisco,37.8026313782,-122.454650879,1.0

Legion of Honor,37.784927,-122.500802,4.5

Double Decker,37.77757,-122.42407,3.5

Crissy Field,37.8059352974,-122.452283724,5.0

South Park,37.781669,-122.394462,4.0

Sidney Walton Park,37.7969398,-122.3994827,4.5

La Fusión,37.7916357456,-122.403691573,4.5

Oakhurst Lane,37.756465616,-122.461509705,5.0

Museum of the African Diaspora,37.78643,-122.40152,3.0

SS Jeremiah O’Brien,37.8108298027,-122.417876787,5.0

Fay Park,37.8028398116,-122.417910577,4.5

Fort Miley,37.7812980238,-122.503159046,5.0

Pier 24,37.7894251122,-122.387841042,4.5

Juri Commons,37.74997,-122.42138,4.0

Academy of Art University Automobile Museum,37.7928369,-122.423544,5.0

Lands End Trail,37.780077,-122.510029,5.0

Mission Creek Dog Park,37.7701518685,-122.398797646,3.5

Alamo Square,37.7763457776,-122.434719801,4.5

Olafur Eliasson Exhibit,37.7731018066,-122.411277771,5.0

John McLaren Park,37.71804,-122.41413,4.0

San Francisco Maritime National Park Association,37.8098502999,-122.422325878,5.0

343 Sansome Rooftop Deck,37.7932735,-122.4012213,4.5

Crocker Galleria Roof Terrace,37.7891276,-122.4029268,4.0

Box Kitchen,37.7811510761,-122.406365051,4.5

Super Duper Burgers,37.7848389899,-122.403624148,4.0

Contemporary Jewish Museum,37.785944,-122.403802,3.5

Maritime Museum - San Francsco Maritime National Historical Park,37.8063245,-122.4239816,4.5

Grandview Park,37.756377,-122.470933,5.0

Strawberry Hill,37.7686793176,-122.475618124,5.0

State Bird Provisions,37.78374,-122.433005,4.5

Buena Vista Park,37.7690887,-122.4383392,4.0

Portsmouth Square,37.7948013693,-122.40567416,3.5

Starboard SF,37.7650262858,-122.418006957,5.0

Rove Kitchen,37.7877664572,-122.412939659,4.5

Treasure Island Museum,37.817272,-122.370666,5.0

The Spice Jar,37.7543144481,-122.409359223,4.5

Saigon Sandwich,37.7830597444,-122.417336797,4.5

Coit Tower,37.802280426,-122.405845642,4.0

Sutro Heights Park,37.777786,-122.511097,5.0

Little Skillet,37.7788276672,-122.394065857,4.0

Crepes A Go Go,37.7710762024,-122.413414001,4.5

Glen Canyon Park,37.73511602,-122.439943627,4.5

Friends of Esprit Park,37.759462595,-122.389464229,4.0

Jessie Square,37.7866113,-122.4032581,3.5

George Sterling Park,37.8019507974,-122.419665903,4.5

Boudin Museum and Bakery Tour,37.8083445132,-122.415130958,3.5

Balboa Park,37.7249720088,-122.444320009,4.0

Edgehill Mountain Park,37.7416,-122.45924,4.5

Octagon House,37.79779,-122.42743,4.0

Hyde Vallejo Mini Park,37.7973404,-122.4186783,3.5

Lands End,37.780077,-122.510029,5.0

Linden Hayes Fine Art,37.77685,-122.42221,4.5

Lee Friedlander,37.7731018066,-122.411277771,4.5

National Japanese American Historical Society,37.78573,-122.42956,4.0

The International Art Museum of America,37.7815814,-122.4108475,3.5

Dolores Park,37.759764,-122.427052,4.5

Bernal Heights Park,37.7432657659,-122.414903641,4.5

The Panhandle,37.7720775242,-122.445748115,4.0

Exploratorium After Dark,37.8014766916,-122.398552895,4.0

Randall Museum,37.7642690469,-122.438335419,4.5

Popeyes Chicken & Biscuits,37.7748759595,-122.437956662,3.5

USS Pampanito,37.809945,-122.416455,4.5

Queen Wilhelmina Tulip Garden,37.7692198008,-122.508269995,4.5

Orizaba Shields Rocky Outcrop Park,37.7180747986,-122.462722778,4.5

Tenderloin Museum,37.7837949246,-122.41407685,4.0

Golden Gate Park,37.770518,-122.479878,4.5

San Francisco Maritime National Historical Park,37.8075606376,-122.420573831,4.5

Golden Gate Heights Park,37.75082,-122.46898,4.5

Rincon Park,37.7913371759,-122.390012741,4.5

One Kearny,37.7877464,-122.4039383,4.5

Allyne Park,37.79742,-122.42759,4.5

Cayuga Playground,37.7143297344,-122.449589297,4.5

Richmond Recreation Center,37.7832717896,-122.477973938,3.5

Raymond Kimbell Playground,37.7827904165,-122.435116768,4.0

Umami Burger,37.797305755,-122.435245514,4.0

Dorothy W Erskine Park,37.7340302255,-122.439818298,4.0

